date,account,asset_symbol,asset_type,sector,units_held,unit_price,market_value,roi,dividend,annualized_roi,holding_days
2023-06-25,Account A,AAPL,mutual fund,Tech,19.35,1428.54,27642.25,0.17,2.99,17.0,702
2023-06-28,Account A,AAPL,crypto,Energy,8.64,276.19,2386.28,-0.17,0.0,-17.0,699
2023-03-06,Account A,AAPL,crypto,Tech,43.44,921.62,40035.17,0.15,0.0,15.0,813
2023-05-01,Account A,AAPL,mutual fund,Tech,2.01,1456.37,2927.3,0.22,1.06,22.0,757
2023-08-22,Account A,AAPL,stock,Finance,9.91,315.94,3130.97,-0.05,2.62,-5.0,644
2023-01-17,Account A,AAPL,mutual fund,Finance,22.17,472.28,10470.45,0.11,0.7,11.0,861
2023-06-02,Account A,AAPL,crypto,Tech,15.32,581.22,8904.29,0.03,0.0,3.0,725
2023-11-29,Account A,AAPL,crypto,Consumer,39.47,339.53,13401.25,0.06,0.0,6.0,545
2023-08-08,Account A,AAPL,stock,Healthcare,30.03,117.35,3524.02,0.1,0.85,10.0,658
2023-07-10,Account A,AAPL,crypto,Healthcare,4.19,1425.88,5974.44,0.28,0.0,28.000000000000004,687
2023-08-07,Account A,AAPL,mutual fund,Finance,40.61,491.69,19967.53,-0.15,3.42,-15.0,659
2023-12-09,Account A,AAPL,stock,Consumer,22.57,226.96,5122.49,0.05,0.17,5.0,535
2023-11-05,Account A,AAPL,mutual fund,Healthcare,45.56,425.23,19373.48,0.13,1.56,13.0,569
2023-10-06,Account A,AAPL,stock,Finance,26.48,842.73,22315.49,-0.11,4.85,-11.0,599
2023-07-02,Account A,AAPL,mutual fund,Healthcare,38.98,1412.27,55050.28,0.25,2.99,25.0,695
2023-10-22,Account A,AAPL,crypto,Tech,46.17,178.31,8232.57,-0.1,0.0,-10.0,583
2023-09-02,Account A,AAPL,stock,Finance,3.22,521.73,1679.97,-0.01,1.36,-1.0,633
2023-04-27,Account A,AAPL,stock,Tech,41.61,567.29,23604.94,-0.06,2.71,-6.0,761
2023-07-29,Account A,AAPL,mutual fund,Energy,7.91,1213.19,9596.33,-0.16,4.93,-16.0,668
2023-08-30,Account A,AAPL,mutual fund,Tech,38.84,338.14,13133.36,-0.2,4.08,-20.0,636
2023-01-22,Account A,AAPL,stock,Energy,35.64,1107.06,39455.62,0.19,0.37,19.0,856
2023-03-30,Account A,AAPL,mutual fund,Healthcare,18.56,218.01,4046.27,0.23,3.12,23.0,789
2023-01-01,Account A,AAPL,stock,Consumer,17.21,142.16,2446.57,-0.04,1.63,-4.0,877
2023-07-26,Account A,AAPL,crypto,Consumer,36.75,974.46,35811.4,0.24,0.0,24.0,671
2023-06-20,Account A,AAPL,crypto,Tech,24.14,223.41,5393.12,0.16,0.0,16.0,707
2023-08-12,Account A,AAPL,crypto,Tech,38.28,863.85,33068.18,0.19,0.0,19.0,654
2023-04-02,Account A,AAPL,crypto,Energy,25.2,807.96,20360.59,0.01,0.0,1.0,786
2023-08-20,Account A,AAPL,crypto,Finance,2.25,206.44,464.49,-0.18,0.0,-18.0,646
2023-09-14,Account A,AAPL,crypto,Finance,32.18,505.82,16277.29,0.05,0.0,5.0,621
2023-11-22,Account A,AAPL,mutual fund,Energy,45.47,411.47,18709.54,0.01,3.78,1.0,552
2023-02-03,Account A,AAPL,stock,Finance,12.21,161.62,1973.38,-0.06,0.81,-6.0,844
2023-02-23,Account A,AAPL,crypto,Healthcare,46.56,1221.77,56885.61,0.12,0.0,12.0,824
2023-12-10,Account A,AAPL,stock,Finance,43.7,1215.32,53109.48,-0.11,4.46,-11.0,534
2023-12-31,Account A,AAPL,mutual fund,Healthcare,27.43,1220.79,33486.27,0.25,1.59,25.0,513
2023-08-23,Account A,AAPL,crypto,Consumer,6.39,380.51,2431.46,0.01,0.0,1.0,643
2023-09-06,Account A,AAPL,mutual fund,Consumer,41.08,1298.06,53324.3,-0.2,2.55,-20.0,629
2023-09-11,Account A,AAPL,crypto,Finance,21.45,372.06,7980.69,-0.14,0.0,-14.000000000000002,624
2023-03-19,Account A,AAPL,crypto,Healthcare,17.54,1417.22,24858.04,-0.04,0.0,-4.0,800
2023-11-25,Account A,AAPL,mutual fund,Finance,26.42,1069.38,28253.02,-0.02,4.86,-2.0,549
2023-01-15,Account A,AAPL,mutual fund,Consumer,48.16,415.08,19990.25,0.05,1.5,5.0,863
2023-04-30,Account A,AAPL,stock,Energy,14.96,103.49,1548.21,0.1,2.51,10.0,758
2023-01-03,Account A,AAPL,crypto,Healthcare,3.52,454.04,1598.22,0.25,0.0,25.0,875
2023-07-11,Account A,AAPL,mutual fund,Healthcare,12.74,260.1,3313.67,0.04,4.93,4.0,686
2023-09-17,Account A,AAPL,mutual fund,Tech,12.86,1024.6,13176.36,0.18,1.19,18.0,618
2023-03-22,Account A,AAPL,crypto,Healthcare,36.68,583.29,21395.08,0.12,0.0,12.0,797
2023-11-11,Account A,AAPL,crypto,Consumer,32.04,826.87,26492.91,-0.15,0.0,-15.0,563
2023-07-15,Account A,AAPL,mutual fund,Energy,41.93,515.13,21599.4,-0.11,0.2,-11.0,682
2023-05-04,Account A,AAPL,stock,Tech,29.95,1032.47,30922.48,-0.19,2.56,-19.0,754
2023-07-16,Account A,AAPL,crypto,Consumer,12.1,985.5,11924.55,-0.11,0.0,-11.0,681
2023-07-17,Account A,AAPL,crypto,Healthcare,34.86,610.77,21291.44,0.27,0.0,27.0,680
2023-02-25,Account A,AAPL,mutual fund,Tech,7.74,544.55,4214.82,-0.14,4.62,-14.000000000000002,822
2023-06-21,Account A,AAPL,crypto,Energy,43.99,424.02,18652.64,0.13,0.0,13.0,706
2023-08-29,Account A,AAPL,mutual fund,Healthcare,41.04,855.04,35090.84,0.06,1.21,6.0,637
2023-10-11,Account A,AAPL,crypto,Energy,5.56,1350.96,7511.34,0.25,0.0,25.0,594
2023-03-27,Account A,AAPL,crypto,Consumer,32.02,541.59,17341.71,-0.03,0.0,-3.0,792
2023-11-04,Account A,AAPL,stock,Energy,36.57,1350.81,49399.12,0.24,3.9,24.0,570
2023-10-14,Account A,AAPL,mutual fund,Finance,32.46,172.0,5583.12,-0.12,4.49,-12.0,591
2023-06-15,Account A,AAPL,stock,Energy,30.72,63.34,1945.8,-0.15,3.32,-15.0,712
2023-10-28,Account A,AAPL,crypto,Consumer,1.25,283.17,353.96,0.07,0.0,7.000000000000001,577
2023-11-13,Account A,AAPL,crypto,Energy,34.9,995.34,34737.37,-0.09,0.0,-9.0,561
2023-10-05,Account A,GOOGL,crypto,Tech,35.9,394.01,14144.96,-0.04,0.0,-4.0,600
2023-04-01,Account A,GOOGL,stock,Consumer,37.58,991.97,37278.23,0.22,3.29,22.0,787
2023-06-24,Account A,GOOGL,stock,Tech,28.85,185.83,5361.2,-0.02,1.33,-2.0,703
2023-10-31,Account A,GOOGL,mutual fund,Finance,12.96,1460.87,18932.88,-0.0,4.46,-0.0,574
2023-07-10,Account A,GOOGL,stock,Healthcare,31.93,1202.48,38395.19,0.05,2.88,5.0,687
2023-02-04,Account A,GOOGL,mutual fund,Consumer,25.13,333.1,8370.8,0.16,1.4,16.0,843
2023-11-15,Account A,GOOGL,stock,Healthcare,2.19,985.93,2159.19,-0.11,4.7,-11.0,559
2023-11-13,Account A,GOOGL,crypto,Finance,47.74,1376.55,65716.5,-0.01,0.0,-1.0,561
2023-02-22,Account A,GOOGL,mutual fund,Finance,1.76,1396.06,2457.07,0.01,4.83,1.0,825
2023-11-10,Account A,GOOGL,stock,Finance,48.22,1286.86,62052.39,-0.05,1.93,-5.0,564
2023-09-12,Account A,GOOGL,crypto,Tech,42.71,509.54,21762.45,-0.12,0.0,-12.0,623
